2018-11-19 15:08:06	From: me	To: bob2	type: obj	1.36 ms	total calls: 1166
2018-11-19 15:08:06	From: me	To: bob2	type: req_obj	0.06 ms	total calls: 69
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.08 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.08 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.22 ms	total calls: 384
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.49 ms	total calls: 919
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.48 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.47 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.47 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.14 ms	total calls: 243
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.15 ms	total calls: 243
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 394
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.23 ms	total calls: 394
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.21 ms	total calls: 382
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.21 ms	total calls: 382
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.26 ms	total calls: 450
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.26 ms	total calls: 450
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.15 ms	total calls: 243
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.15 ms	total calls: 243
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.21 ms	total calls: 382
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.21 ms	total calls: 382
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.26 ms	total calls: 450
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.26 ms	total calls: 450
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.15 ms	total calls: 243
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.14 ms	total calls: 243
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.47 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.48 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.17 ms	total calls: 275
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.15 ms	total calls: 272
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.48 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.48 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.16 ms	total calls: 272
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.15 ms	total calls: 272
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.47 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.47 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.08 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.49 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.47 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.26 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.23 ms	total calls: 382
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.48 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.47 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.20 ms	total calls: 299
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.19 ms	total calls: 296
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.16 ms	total calls: 244
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.15 ms	total calls: 241
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.48 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.47 ms	total calls: 916
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.18 ms	total calls: 296
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.18 ms	total calls: 296
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.26 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.22 ms	total calls: 361
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.20 ms	total calls: 355
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.42 ms	total calls: 785
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.38 ms	total calls: 770
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.39 ms	total calls: 770
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.39 ms	total calls: 770
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.38 ms	total calls: 770
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.39 ms	total calls: 770
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.26 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.38 ms	total calls: 770
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.39 ms	total calls: 770
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.12 ms	total calls: 347
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.11 ms	total calls: 347
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.30 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.23 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.27 ms	total calls: 452
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.29 ms	total calls: 518
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: alice	type: req_obj	0.05 ms	total calls: 61
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: alice	type: obj	0.07 ms	total calls: 85
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.28 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.25 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.22 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.21 ms	total calls: 379
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: alice	type: torch_cmd	0.24 ms	total calls: 444
2018-11-19 15:08:06	From: me	To: bob	type: torch_cmd	0.21 ms	total calls: 379
